"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","MEN","POP","MENarr","POParr"
"01001","L'Abergement-Clémenciat","01400","L ABERGEMENT CLEMENCIAT               ",82,1,"302,8307692308",777,303,777
"01002","L'Abergement-de-Varey","01640","L ABERGEMENT DE VAREY                 ",82,1,"104,4444444444","237,0085470085",104,237
"01004","Ambérieu-en-Bugey","01500","AMBERIEU EN BUGEY                     ",82,1,"6012,5367243716","13710,9945539444",6013,13711
"01005","Ambérieux-en-Dombes","01330","AMBERIEUX EN DOMBES                   ",82,1,"613,7178217822","1629,8069306931",614,1630
"01006","Ambléon","01300","AMBLEON                               ",82,1,"51,0714285714","102,1428571429",51,102
"01007","Ambronay","01500","AMBRONAY                              ",82,1,"979,4367615726","2430,1030202425",979,2430
"01008","Ambutrix","01500","AMBUTRIX                              ",82,1,"305,9301075269","735,0268817204",306,735
"01009","Andert-et-Condon","01300","ANDERT ET CONDON                      ",82,1,"140,4154302671","341,0089020772",140,341
"01010","Anglefort","01350","ANGLEFORT                             ",82,1,428,1060,428,1060
"01011","Apremont","01100","APREMONT                              ",82,1,148,396,148,396
"01012","Aranc","01110","ARANC                                 ",82,1,140,312,140,312
"01013","Arandas","01230","ARANDAS                               ",82,1,68,152,68,152
"01014","Arbent","01100","ARBENT                                ",82,1,1312,3388,1312,3388
"01015","Arbignieu","01300","ARBIGNIEU                             ",82,1,"213,3818181818","486,0363636364",213,486
"01016","Arbigny","01190","ARBIGNY                               ",82,1,"161,8646616541","415,037593985",162,415
"01017","Argis","01230","ARGIS                                 ",82,1,"205,4536817102","439,106888361",205,439
"01019","Armix","01510","ARMIX                                 ",82,1,12,16,12,16
"01021","Ars-sur-Formans","01480","ARS SUR FORMANS                       ",82,1,"476,6092149772","1243,1557023989",477,1243
"01022","Artemare","01510","ARTEMARE                              ",82,1,"552,7231896967","1163,1935783169",553,1163
"01023","Asnières-sur-Saône","01570","ASNIERES SUR SAONE                    ",82,1,"32,81483108","71,0988006733",33,71
"01024","Attignat","01340","ATTIGNAT                              ",82,1,1176,3108,1176,3108
"01025","Bâgé-la-Ville","01380","BAGE LA VILLE                         ",82,1,"1160,2257069324","3094,5918261303",1160,3095
"01026","Bâgé-le-Châtel","01380","BAGE LE CHATEL                        ",82,1,"347,4076136504","765,6006928166",347,766
"01027","Balan","01360","BALAN                                 ",82,1,"584,2388648258","1573,5500092641",584,1574
"01028","Baneins","01990","BANEINS                               ",82,1,"207,5524475524","556,0839160839",208,556
"01029","Beaupont","01270","BEAUPONT                              ",82,1,256,616,256,616
